mp-300765862, Li8Ni(O2F)2
mp-300765863, LiV6O7F5
mp-300765874, LiV2O2F3
mp-300765883, LiCrPHO5
mp-300765896, LiV3F10
mp-300765901, Li4V4(OF3)3
mp-300765930, Li4SbTe2WO12
mp-300765937, LiCrCo3O8
mp-300765960, LiMnVP2(HO5)2
mp-300765960, Li2MnVP2(HO5)2
mp-300765960, Li3MnVP2(HO5)2
mp-300766239, Li6V5O12
mp-300766239, Li7V5O12
mp-300766486, LiCuS2
mp-300766678, Li3Cr(Si2O5)3
mp-300766714, Li2Fe(Si2O5)3
mp-300766714, Li3Fe(Si2O5)3
mp-300766730, Li2Cr3(CoO6)2
mp-300766739, LiVOF3
mp-300766742, Li6Mn5FeO12
mp-300766766, LiFePO4
mp-300766809, Li3Cr2CoO6
mp-300766823, Li7Ti11O24
mp-300766846, Li2CoSn(PO4)2
mp-300766850, Li4Mn3V2Co3O16
mp-300766972, LiMn2O2F3
mp-300766992, LiVCrP2(O4F)2
mp-300766992, Li2VCrP2(O4F)2
mp-300766992, Li3VCrP2(O4F)2
mp-300767026, Li8MnO5F
mp-300767053, Li2Co(CO3)2
mp-300767057, SrLiLa3MnO8
mp-300767067, LiMn5O7F
mp-300767084, LiMn3(OF3)2
mp-300767088, Li3Sb11S18
mp-300767104, Li2Cr(CO3)2
mp-300767106, Li5Mn5O9F
mp-300767137, Li3Sb17S27
mp-300767166, Li2V(CO3)2
mp-300767188, LiMn2OF3
mp-300767251, Li3V2(SiO5)2
mp-300767251, Li2VSiO5
mp-300767273, LiMn3F10
mp-300767292, Li8Fe7O15
mp-300767303, LiMn(SiO3)2
mp-300767303, Li2Mn(SiO3)2
mp-300767309, LiMn2OF3
mp-300767327, Li4Mn3Sn(PO4)4
mp-300767356, LiCo(SiO3)2
mp-300767384, Ba2LiTi11O24
mp-300767433, LiV2OF5
mp-300767444, Li2Mn(CO3)2
mp-300767473, Li2FeP2HO8
mp-300767490, Li9Ti12NbO30
mp-300767497, Li9Ti7Nb5O30
mp-300767511, Ba4Li6Ti19O44
mp-300767564, Na5LiFe6(SiO3)12
mp-300767565, LiVCO4
mp-300767590, Li2V(CO3)2
mp-300767596, Li2VSiO4
mp-300767611, Li2V(CO3)2
mp-300767626, LiVCrP2(HO5)2
mp-300767626, Li2VCrP2(HO5)2
mp-300767626, Li3VCrP2(HO5)2
mp-300767631, Li2VF6
mp-300767639, Li4Mn3(BO3)4
mp-300767650, Li4Mn2Fe(BO3)4
mp-300767653, LiNi6O7
mp-300767680, Li4Mn3Fe3(CoO8)2
mp-300767720, Li2V4Si4O13
mp-300767724, Li4Fe3(BO3)4
mp-300767724, Li5Fe3(BO3)4
mp-300767799, LiLa2Ti2CrO9
