,ShannonRadii,AtomicVolum wmean,Electronegativity wmean,metalloid,HeatFusion wmean,lin,q6,Crystal System,strainlatticemean,total_magnetization
"mp-300019340, VO2, Li2V3O6, mp-714944, mp-762271",0.4561383185830032,6199.706538533296,1.4183333333333332,0.0,3.6566666666666654,5.148934780723222,0.37735524192474895,2.0,-0.17223774641948086,0.0
"mp-300019377, La2MoO6, LiLa2MoO6, mp-25581, mp-19377",0.5287702917927124,4134.95352488377,0.9259259259259259,0.0,1.896296296296296,1.874978074310737,0.28524994004059234,1.0,-0.0009870550603379158,0.0
"mp-300019431, YMo3O8, LiYMo3O8, mp-25579, mp-19431",0.5132812858453062,4133.808144079476,0.9783333333333332,0.0,3.4886111111111107,4.351290432954834,0.31129127274844104,2.0,-0.059333972886169185,5.0000000999999985
"mp-300019433, ScMo3O8, LiScMo3O8, mp-632694, mp-19433",0.482746244692837,4133.585813469367,0.9822222222222221,0.0,3.5638888888888887,3.8262939253298094,0.31141263005956105,2.0,-0.056931693811735976,1.0
"mp-300019445, La4NiO8, LiLa4NiO8, mp-543085, mp-19445",0.4537423544482063,3817.913876944414,0.8674358974358976,0.0,1.1292307692307693,4.487656226565742,0.2435261232890027,3.0,-0.17420817048697992,-0.0018021
"mp-300019492, Mn(PO3)3, LiMn(PO3)3, mp-25697, mp-19492",0.5305315845082675,4292.990501751799,1.002051282051282,0.0,1.8079487179487181,2.7093752239776467,0.31094745444085914,3.0,8.147556703382479e-13,16.0000005
"mp-300019615, V2(PO4)3, LiV2(PO4)3, mp-32518, mp-540147",0.5260251778606109,4376.837218818916,1.002156862745098,0.0,1.985490196078432,2.593532528180034,0.265481243588735,1.0,-0.00010558462473871562,3.9999995
"mp-300019616, Na2Fe(Si2O5)3, Na2LiFe(Si2O5)3, mp-851041, mp-19616",0.5749057515373958,2907.226143608071,0.6946875,1.0,3.3705208333333334,2.841861693858784,0.2817457611946638,3.0,-1.0952819371925229,22.8519024
"mp-300019623, VAsO5, LiVAsO5, mp-543108, mp-19623",0.5756424785271304,4428.407366495484,1.0004761904761903,1.0,2.24,2.7055767145777017,0.27523804567682914,3.0,8.585724723767877e-15,0.0
"mp-300019667, Ni2P3O10, LiNi2P3O10, mp-25610, mp-19667",0.5216807120783181,4133.966591093941,0.9953333333333332,0.0,2.0617777777777784,2.946369237312067,0.281561997548304,1.0,-0.010857219519895859,9.987145800000002
